City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
465,Teacapan,MX,84.9,clear sky,22.55,-105.75,Hotel los Mangos
471,San Pedro,PH,80.6,scattered clouds,14.35,121.02,OYO 412 Viewfort Venue
479,Champerico,GT,82.4,overcast clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
481,Omboue,GA,75.88,light rain,-1.57,9.26,Hotel Olako
483,Sorong,ID,79.54,broken clouds,-0.88,131.25,The Waigo Hotel
485,Road Town,VG,82.4,moderate rain,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
487,Palmer,US,75.2,few clouds,42.16,-72.33,Wedgewood Motel
490,Kirando,TZ,78.06,clear sky,-7.42,30.6,Lakeshore Lodge
493,Malakal,SS,80.65,clear sky,9.53,31.66,Nile Palace Hotel
494,Namatanai,PG,79.0,light rain,-3.67,152.43,Namatanai Hotel
497,Lakatoro,VU,77.0,broken clouds,-16.1,167.42,Lakatoro Palm Lodge
498,Qui Nhon,VN,76.21,light rain,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
501,Maceio,BR,84.2,few clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
503,Ratnagiri,IN,78.98,clear sky,16.98,73.3,Hotel Landmark
506,La Playa,PR,82.0,light rain,18.29,-67.19,Rincon Beach Resort
510,Boffa,GN,79.74,clear sky,10.17,-14.03,Hôtel Niara Belly
514,Manaure,CO,84.0,broken clouds,11.78,-72.44,Del mar vendra
517,Venice,US,80.01,light rain,27.1,-82.45,A Beach Retreat On Casey Key
525,Portobelo,PA,86.0,broken clouds,9.55,-79.65,Scuba Portobelo
527,Bom Jesus Do Galho,BR,81.23,clear sky,-19.83,-42.32,HOTEL LOPES
530,Rock Sound,BS,77.67,light rain,24.9,-76.2,Rock Sound Club
535,Vallenar,CL,80.83,clear sky,-28.57,-70.76,Humacao Bed & Breakfast
542,Tra Vinh,VN,75.07,overcast clouds,9.93,106.35,Hồng Ân
543,El Alto,PE,75.2,clear sky,-4.27,-81.21,Black Marlin Lodge & Restaurant
544,Tahoua,NE,84.2,clear sky,14.89,5.27,Bungalows Guesthouse
551,Banjar,ID,80.6,scattered clouds,-8.19,114.97,The Hamsa Resort
554,Sinnamary,GF,84.65,scattered clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
555,Samana,DO,86.0,shower rain,19.21,-69.34,The Bannister - Hotel & Yacht Club
559,Havelock,US,78.01,scattered clouds,34.88,-76.9,Sherwood Motel
564,Mumford,GH,79.75,light rain,5.26,-0.76,Spanish Villa
566,Cabedelo,BR,86.0,broken clouds,-6.98,-34.83,Lua Mansa Pousada
567,Am Timan,TD,82.63,scattered clouds,11.03,20.28,Palais du chef Canton Salamt
569,Lafia,NG,81.45,overcast clouds,8.48,8.52,Low Cost Housing Estate
570,Arlit,NE,77.74,clear sky,18.74,7.39,Hôtel Telwa Bungalow
578,Kampot,KH,77.0,few clouds,10.62,104.18,Champa Lodge
583,Puerto Baquerizo Moreno,EC,77.0,few clouds,-0.9,-89.6,Hotel los Algarrobos
586,Progreso,MX,86.0,broken clouds,21.28,-89.67,Playa Linda Hotel
587,Wamba,NG,76.95,overcast clouds,8.93,8.6,Roma Zee Guest House Annex
591,Kontagora,NG,77.92,overcast clouds,10.4,5.47,City Gate Inn
599,Ugoofaaru,MV,83.71,overcast clouds,5.67,73.0,Ungoofaaru Inn
601,Macia,MZ,89.69,clear sky,-25.03,33.1,Hotel Taskin Macia
603,Kandi,BJ,79.2,broken clouds,11.13,2.94,Maison des producteurs kandi
607,Savelugu,GH,86.74,broken clouds,9.62,-0.83,Yoo Naa's Palace
614,Puerto Escondido,MX,87.8,scattered clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
620,Umm Lajj,SA,75.6,clear sky,25.02,37.27,Moon light Furnished Units
622,Bubaque,GW,84.78,broken clouds,11.28,-15.83,"Casa Dora, Bubaque"
629,Jacqueville,CI,77.0,scattered clouds,5.21,-4.41,Hotel Le Martin Pecheur
632,Puerto Leguizamo,CO,83.64,light rain,-0.19,-74.78,la casona de juancho
633,Florianopolis,BR,77.0,broken clouds,-27.61,-48.5,Hotel Boutique Quinta das Videiras
636,Sterling,US,75.0,few clouds,39.01,-77.43,Hampton Inn & Suites Washington-Dulles International Airport
640,Kulhudhuffushi,MV,83.57,overcast clouds,6.62,73.07,Haajy Guest House 1
646,Cabinda,AO,78.55,broken clouds,-5.55,12.2,"Hotel Executivo , 3 estrelas"
648,Kupang,ID,80.6,overcast clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
651,Gwanda,ZW,85.73,clear sky,-20.93,29.0,Mafax Homeways
653,Calabozo,VE,84.74,overcast clouds,8.92,-67.43,Hotel Giardini
654,Balangiga,PH,77.4,overcast clouds,11.11,125.39,Summerscape Haven
659,Altoona,US,75.99,clear sky,40.52,-78.39,Cedar Grove Motel
660,Bandarbeyla,SO,77.81,clear sky,9.49,50.81,REER XOOSHLE GROUP
663,Veraval,IN,78.78,clear sky,20.9,70.37,Lords Inn Somnath
667,Salta,AR,82.4,overcast clouds,-24.79,-65.41,Hotel Alejandro I
669,Nha Trang,VN,82.4,scattered clouds,12.25,109.18,Hanoi Golden Hotel
672,Pocoes,BR,76.89,clear sky,-14.53,-40.37,Poções Palace Hotel
679,Mandera,KE,82.81,moderate rain,3.94,41.87,Kornesh Hotel and Lodging
681,Aden,YE,79.95,clear sky,12.78,45.04,Sama Emirate Hotel
683,Kita,ML,82.63,scattered clouds,13.03,-9.49,Hôtel Nelson Mandela
687,San Miguel,SV,87.8,scattered clouds,13.48,-88.18,Excalibur
690,Ambon,ID,81.0,overcast clouds,-3.7,128.18,Swiss-Belhotel Ambon
693,Matamoros,MX,78.8,clear sky,25.53,-103.25,Recreativo Sabdy Briseidy
713,Aldama,MX,87.01,broken clouds,22.92,-98.07,CASA CANYE
719,Inhambane,MZ,80.6,scattered clouds,-23.86,35.38,Oceano
720,Caravelas,BR,79.99,overcast clouds,-17.71,-39.25,Pousada dos Navegantes
722,Dabola,GN,76.69,clear sky,10.75,-11.12,Hotel Tinkisso
723,Pemangkat,ID,79.7,heavy intensity rain,1.17,108.97,Kost H.Syamsuddin
726,Pemba,MZ,79.75,clear sky,-12.97,40.52,Guesthouse Samotina
