City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
164,Birobidzhan,48.8,132.95,22.21,83,0,6.91,RU,clear sky
165,Jamestown,42.1,-79.24,72.0,34,1,5.03,US,clear sky
166,Castro,-24.79,-50.01,84.72,31,24,2.73,BR,few clouds
167,Yulara,-25.24,130.99,73.4,23,0,8.05,AU,clear sky
168,Pevek,69.7,170.31,16.38,95,100,3.0,RU,overcast clouds
169,Nanortalik,60.14,-45.24,31.95,98,100,10.56,GL,overcast clouds
170,Quatre Cocos,-20.21,57.76,73.99,88,75,8.05,MU,broken clouds
171,Darnah,32.77,22.64,65.66,71,2,7.61,LY,clear sky
172,Seoul,37.57,126.98,39.2,41,1,3.36,KR,clear sky
173,Ahipara,-35.17,173.17,57.11,82,1,12.1,NZ,clear sky
174,Dwarka,22.24,68.97,80.96,57,0,10.27,IN,clear sky
175,Niteroi,-22.88,-43.1,75.2,94,90,10.29,BR,overcast clouds
176,Pinega,64.7,43.39,35.31,90,99,11.12,RU,overcast clouds
177,Dunedin,-45.87,170.5,52.0,68,100,10.0,NZ,overcast clouds
178,Goba,7.02,39.98,51.19,89,100,2.59,ET,overcast clouds
179,Leningradskiy,69.38,178.42,17.78,96,100,5.53,RU,overcast clouds
180,Tuatapere,-46.13,167.68,50.0,92,94,2.42,NZ,overcast clouds
181,Bignona,12.81,-16.23,91.4,75,0,2.24,SN,clear sky
182,Tura,25.52,90.22,66.07,75,0,4.29,IN,clear sky
183,Cabo San Lucas,22.89,-109.91,86.0,61,5,6.93,MX,clear sky
184,Cayenne,4.93,-52.33,87.8,66,40,14.99,GF,scattered clouds
185,Arraial Do Cabo,-22.97,-42.03,77.0,83,75,13.87,BR,broken clouds
186,Sri Aman,1.24,111.46,75.2,94,95,2.24,MY,light rain
187,Khatanga,71.97,102.5,9.57,91,100,19.33,RU,overcast clouds
188,Saldanha,-33.01,17.94,59.0,72,1,2.24,ZA,clear sky
189,Amga,60.9,131.96,-7.92,89,100,3.44,RU,overcast clouds
190,Port-Gentil,-0.72,8.78,77.0,94,40,6.93,GA,scattered clouds
191,Airai,-8.93,125.41,60.76,83,37,2.33,TL,scattered clouds
192,Peniche,39.36,-9.38,62.01,87,0,7.0,PT,clear sky
193,Sawakin,19.11,37.33,85.41,68,1,5.88,SD,clear sky
194,Laguna,38.42,-121.42,57.0,32,1,12.75,US,clear sky
195,Beringovskiy,63.05,179.32,19.47,92,7,11.45,RU,clear sky
196,Saint-Louis,16.33,-15.0,96.8,28,0,7.52,SN,clear sky
197,Kantang,7.41,99.52,75.96,91,100,4.27,TH,overcast clouds
198,Yingcheng,30.95,113.55,53.6,62,0,4.47,CN,clear sky
199,Berlevag,70.86,29.09,37.4,82,75,25.28,NO,broken clouds
200,Westport,41.14,-73.36,73.99,63,1,6.93,US,clear sky
201,Marawi,8.0,124.29,75.0,92,100,5.01,PH,overcast clouds
202,Fort-Shevchenko,44.51,50.26,51.6,66,0,15.61,KZ,clear sky
203,Robertsport,6.75,-11.37,80.73,79,41,6.53,LR,scattered clouds
204,Erdenet,49.03,104.08,28.29,89,0,4.25,MN,clear sky
205,Port Keats,-14.25,129.55,82.56,76,0,5.7,AU,clear sky
206,Randolph,35.7,-79.82,73.99,60,40,4.7,US,scattered clouds
207,Sibolga,1.74,98.78,77.32,84,100,1.48,ID,overcast clouds
208,Rorvik,64.86,11.24,42.8,93,75,10.29,NO,light intensity shower rain
209,Morant Bay,17.88,-76.41,80.01,100,75,12.75,JM,moderate rain
210,Galesong,-5.32,119.37,75.2,88,20,2.24,ID,few clouds
211,Medea,36.26,2.75,66.2,82,20,5.82,DZ,few clouds
212,Tabou,4.42,-7.35,79.05,86,23,7.0,CI,light rain
213,Pucallpa,-8.38,-74.55,95.0,50,40,5.82,PE,scattered clouds
214,Kasongo-Lunda,-6.47,16.82,72.97,92,100,1.34,CD,light rain
215,Tazovskiy,67.47,78.7,19.2,98,75,4.18,RU,broken clouds
216,La Cruz,23.92,-106.9,88.0,66,1,8.99,MX,clear sky
217,Beecher,43.09,-83.69,75.2,41,1,5.82,US,clear sky
218,Makakilo City,21.35,-158.09,80.6,73,1,3.36,US,clear sky
219,Toamasina,-18.17,49.38,77.0,94,75,5.82,MG,shower rain
220,Margate,51.38,1.39,57.0,88,99,1.99,GB,overcast clouds
221,Hilo,19.73,-155.09,75.99,83,40,3.36,US,scattered clouds
222,Birao,10.28,22.79,78.91,31,81,3.89,CF,broken clouds
223,Lata,40.16,-8.33,61.0,90,0,4.32,PT,clear sky
224,Concordia,-31.39,-58.02,84.2,42,0,11.41,AR,clear sky
225,Owase,34.07,136.2,52.52,70,3,5.1,JP,clear sky
226,Serebryansk,49.69,83.29,59.0,26,90,8.95,KZ,overcast clouds
227,Weiser,44.25,-116.97,39.0,51,90,14.99,US,overcast clouds
228,Antalaha,-14.9,50.28,73.53,89,75,8.43,MG,light rain
229,Vestmanna,62.16,-7.17,44.6,87,100,11.41,FO,light rain
230,Kapit,2.02,112.93,74.23,94,100,0.89,MY,overcast clouds
231,Yuci,37.68,112.73,32.0,53,0,2.24,CN,clear sky
232,Plavsk,53.71,37.29,45.3,86,33,12.95,RU,scattered clouds
233,Russell,32.35,-85.2,73.4,73,90,8.05,US,overcast clouds
234,Porto Novo,6.5,2.6,84.2,66,20,8.05,BJ,few clouds
235,Wukari,7.85,9.78,79.81,33,10,3.53,NG,clear sky
236,Kavieng,-2.57,150.8,81.46,72,96,3.83,PG,overcast clouds
237,Bilma,18.69,12.92,69.76,32,0,3.89,NE,clear sky
238,Basco,20.45,121.97,79.43,83,77,31.21,PH,broken clouds
239,Xai-Xai,-25.05,33.64,88.02,40,0,10.78,MZ,clear sky
240,Nuevo Ideal,24.89,-105.07,71.98,26,0,5.08,MX,clear sky
241,Sorland,67.67,12.69,44.6,81,75,31.09,NO,shower rain
242,Lahad Datu,5.03,118.33,75.94,92,100,3.51,MY,light rain
243,Tomatlan,19.93,-105.25,90.05,47,77,5.73,MX,broken clouds
244,Kabin Buri,13.95,101.72,72.55,72,2,6.15,TH,light rain
245,Sovetskiy,61.36,63.58,29.17,97,100,1.07,RU,overcast clouds
246,Belmonte,-15.86,-38.88,80.6,69,20,14.99,BR,few clouds
247,Znamenka,52.42,41.43,48.09,83,99,16.33,RU,light rain
248,Prince Rupert,54.32,-130.32,39.2,80,40,5.82,CA,scattered clouds
249,Teya,60.38,92.63,36.34,84,100,10.22,RU,overcast clouds
250,Guarenas,10.47,-66.61,91.4,59,40,5.82,VE,scattered clouds
251,Boyolangu,-8.12,111.89,75.38,82,100,0.36,ID,overcast clouds
252,Toora-Khem,52.47,96.11,26.56,96,0,1.95,RU,clear sky
253,Saint George,37.1,-113.58,46.99,56,90,3.36,US,overcast clouds
254,Vila,42.03,-8.16,55.0,91,27,5.35,PT,light rain
255,Pangody,65.85,74.49,19.47,98,79,3.2,RU,broken clouds
256,Te Anau,-45.42,167.72,44.42,82,99,1.57,NZ,overcast clouds
257,Brae,60.4,-1.35,48.2,93,75,14.99,GB,light rain
258,Flinders,-34.58,150.86,57.99,84,81,1.63,AU,broken clouds
259,Okha,53.57,142.95,24.01,90,99,15.28,RU,overcast clouds
260,Birzai,56.2,24.75,40.48,83,2,6.8,LT,clear sky
261,Dewa,27.03,81.17,60.8,87,0,3.8,IN,mist
262,Sheopur,25.67,76.7,67.32,28,0,4.9,IN,clear sky
263,Tautira,-17.73,-149.15,82.4,74,40,3.36,PF,scattered clouds
264,Bam,29.11,58.36,63.48,27,23,7.0,IR,few clouds
265,Tynda,55.17,124.72,-6.5,86,0,4.14,RU,clear sky
266,Itarema,-2.92,-39.92,85.17,64,0,19.91,BR,clear sky
267,Hirara,24.8,125.28,73.49,75,100,29.44,JP,overcast clouds
268,Mount Isa,-20.73,139.5,73.4,17,0,9.66,AU,clear sky
269,Buraydah,26.33,43.98,78.8,50,40,5.82,SA,scattered clouds
270,Mawlaik,23.63,94.42,67.1,79,0,0.92,MM,clear sky
271,Innisfail,-17.53,146.03,75.11,83,84,9.73,AU,broken clouds
272,Khromtau,50.25,58.43,34.16,95,100,27.09,KZ,overcast clouds
273,Puerto Triunfo,5.87,-74.64,89.06,57,88,2.62,CO,overcast clouds
274,Nuwara Eliya,6.97,80.78,56.73,100,90,1.32,LK,light rain
275,Hasaki,35.73,140.83,54.0,76,40,8.05,JP,scattered clouds
276,Austin,30.27,-97.74,78.8,54,40,4.7,US,scattered clouds
277,Mukhen,48.1,136.1,23.74,92,100,5.08,RU,overcast clouds
278,Fort Nelson,58.81,-122.7,10.4,78,40,6.93,CA,scattered clouds
279,Baghdad,33.34,44.4,69.8,68,10,3.36,IQ,clear sky
280,Noyabrsk,63.2,75.45,29.86,99,100,9.01,RU,overcast clouds
281,Beloha,-25.17,45.05,73.45,79,0,9.75,MG,clear sky
282,Kaitangata,-46.28,169.85,51.01,86,92,3.0,NZ,overcast clouds
283,Shebunino,46.43,141.86,31.8,89,100,10.29,RU,overcast clouds
284,Mayumba,-3.43,10.66,77.34,86,100,9.13,GA,light rain
285,Nouadhibou,20.93,-17.03,71.6,73,100,17.22,MR,overcast clouds
